"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\App.css", "CSS", 10, 0, 0, 2, 12
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\App.js", "JavaScript", 0, 66, 0, 3, 69
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\admin\login.css", "CSS", 69, 0, 0, 5, 74
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\admin\login.js", "JavaScript", 0, 34, 0, 10, 44
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\admin\nav.css", "CSS", 56, 0, 0, 6, 62
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\admin\nav.js", "JavaScript", 0, 19, 0, 7, 26
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\admin\site.css", "CSS", 188, 0, 0, 34, 222
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\admin\site.js", "JavaScript", 0, 485, 12, 136, 633
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\admin\sites.css", "CSS", 90, 0, 0, 14, 104
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\admin\sites.js", "JavaScript", 0, 104, 2, 21, 127
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\admin\splash.css", "CSS", 18, 0, 0, 5, 23
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\admin\splash.js", "JavaScript", 0, 22, 0, 5, 27
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\admin\user.css", "CSS", 77, 0, 0, 13, 90
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\admin\user.js", "JavaScript", 0, 126, 2, 39, 167
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\admin\users.css", "CSS", 90, 0, 0, 16, 106
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\admin\users.js", "JavaScript", 0, 71, 2, 21, 94
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\index.css", "CSS", 5, 0, 0, 0, 5
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\index.js", "JavaScript", 0, 12, 3, 3, 18
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\login.css", "CSS", 65, 0, 0, 5, 70
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\login.js", "JavaScript", 0, 44, 1, 13, 58
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\nav.css", "CSS", 56, 0, 0, 6, 62
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\nav.js", "JavaScript", 0, 23, 0, 10, 33
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 2, 14
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\setupTests.js", "JavaScript", 0, 1, 4, 1, 6
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\site.css", "CSS", 140, 0, 0, 30, 170
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\site.js", "JavaScript", 0, 328, 10, 127, 465
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\sites.css", "CSS", 38, 0, 0, 7, 45
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\sites.js", "JavaScript", 0, 34, 0, 10, 44
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\splash.css", "CSS", 12, 0, 0, 4, 16
"c:\Users\Dhiraj Kadam\Desktop\Pureline\pureline\src\splash.js", "JavaScript", 0, 21, 0, 4, 25
"Total", "-", 914, 1402, 36, 559, 2911